की (Ki), of
और (Aur), and
एक (Ek), a, one
तक (Tak), till, up to
में (Mein), in
है (Hain), is
आप (Aap), you (formal)
कि (Ki), that
यह (Yah), it
वह (Vah), he
था (Tha), was
लिए (Liye), for
पर (Par), on
केवल (Keval), only
सदा (Sadaa), always
साथ (Sath), with
उसके (uske), his
वे (Veh), they
मैं (Main), I
बाद (Baad), after
होना (Hona), be
खाना (Khana), to eat, food
माँ (Maa), mother
से (Se), from
या (Ya), or
नाम (Naam), name
घर (Ghar), home
द्वारा (Dwara), through
शब्द (Sabdh), word
लेकिन (Lekin), but
नहीं (Nahi), no
क्या (Kya), what
सब (Sab), all
थे (The), were
हम (Ham, written as Hum), we
जब (Jab), when
आपके (Aapke), yours
भाषा (Bhasha), language
कहा (Kaha), said
वहाँ (Vahan), there
उपयोग (Upyog), use
देश (Desh), country, land
प्रत्येक (Pratek), every
जो (Jo), who
हमारा (Hamara), our
करना (Karna), to do
कैसे (Kaise), how
उनके (Unke), their
अगर (Agar), if
होगा (Hoga), will be
ऊपर (Uppar), on, above
अन्य (Anya), other
के (Ke), of
उधर (Udhar), there
बहुत (Bahut), very
फिर (Fir), again
उन (Un), them
इन (In), these
इसलिए (Isliye), that is why, because of that
कुछ (Kuch), some
उसे (Use), to him, to her
अच्छा (Achcha), good, well, nice
बनाना (Banaanaa), to build, to construct
जैसा (Jaisa), as, like
बोला (Bola), spoken
सुना (Suna), heard
समय (Samay), time
सामने (Saamane), in front
देखना (Dekhna), to look
कम (Kam), less
अधिक (Adhik), more
लिखना (Likhna) ), to write
जाना (Jaana), to go
धन्यवाद (Dhanyavaad), thank you
संख्या (Sangya), number, count
कोई (Koi), someone, something
रास्ता (Rasta), way
सका (Saka), could (masculine)
लोग (Log), people
मेरे (Mere), mine
गया (Gaya), gone (masculine)
पहले (Pehle), before
पानी (Paanī), water
किया  (Kiya), done
पीना (Pīna), to drink
कौन (Kaun), who
दो (Do), give, two
अब (Ab), now
भी (Bhī), also, as well, too
दोपहर (Daupahar), noon
नीचे (Nīche), below
दिन (Din), day
रात (Raat), night
मिल (Mil), meet
आना (Aana), to come, come
बनाया (Banaaya), build
आराम (Aaram), rest, relax
भाग (Bhag), part
सुबह (Subah), morning
सोना (Sona), to sleep, gold
